simulation_id,schedule_delay_months,capex_multiplier,utilization_multiplier,power_cost_multiplier,price_multiplier,debt_rate_shift_bps,total_capex_usd,portfolio_unlevered_npv_usd,total_ebitda_usd,incremental_funding_required_usd,minimum_cash_pre_support_usd,latest_ready_for_service,npv_positive
346,9.565398648503514,1.0968480276261636,0.8645878817295909,1.1492370985193798,0.9684008305978173,133.37204498500986,4765804680.035681,-380554689.3404447,802461616.7160217,488276069.04287744,-438276069.04287744,2030-02-01,False
347,12.187209140060661,1.0472268217123566,0.8701491512685633,0.9720202561249082,0.9685715139027908,59.59473452265658,4550200540.340189,-172500643.251665,743915678.9615948,379230326.49747545,-329230326.49747545,2030-04-01,False
348,7.307085160941071,1.0460111360095121,0.9448147591839974,1.0332453169346723,0.9652886974096926,94.67770776033137,4544918385.96133,304791695.49833846,1066847521.1886632,350231448.1350008,-300231448.1350008,2029-11-01,True
349,7.702797845305052,1.1002373730718082,0.8843933016706602,1.148345731060952,0.9829588303296596,63.26892458516532,4780531385.997007,-173607468.07999086,942541753.6017833,427766772.1939201,-377766772.1939201,2029-12-01,False
350,10.260050660786375,1.0782376085607812,0.7739968280530585,1.0702714307093346,0.9385649666574539,69.61599651779252,4684942409.196594,-889587018.049844,658022224.4139202,551487217.6669282,-501487217.6669282,2030-02-01,False
351,8.049833798643734,1.0330388525769252,0.9712493625580337,1.180030969854969,0.9857239317808209,179.8116314264777,4488553814.446739,523502605.2575275,1065634138.7300674,349034666.8891372,-299034666.8891372,2029-12-01,True
352,7.667711739587216,1.276805931875354,0.8798344831776966,1.0133093867864762,0.9789303922388066,133.95597898384418,5547721773.998413,-749992799.5889262,950879519.5781221,656524509.7317129,-606524509.7317129,2029-12-01,False
353,3.1564377618739914,1.1298841116790135,0.7525043083923721,1.1757901794107055,0.9563461740835626,-1.2802657703112246,4909346465.245314,-1190331226.4278274,891278170.6754797,650378878.7856276,-600378878.7856276,2029-07-01,False
354,2.4621065619895486,1.0590058437154564,0.8631369323820103,0.9729048626106392,0.9578986851864941,57.59416429160518,4601380390.943657,-229120132.3679564,1165318566.2277339,416367341.1854053,-366367341.1854053,2029-06-01,False
355,4.672992432769908,1.0855484827617825,0.8792412603476101,1.044026382021645,0.9328142550257509,-11.111739206159783,4716708157.599945,-396844826.85611784,998280444.4839667,440373352.51281154,-390373352.51281154,2029-09-01,False
356,3.3642831047285733,1.1650829038659771,1.0406360756685475,1.1761720435723324,0.9777858101870336,133.6262159544124,5062285217.29767,381812844.76103926,1431427555.7844708,406045690.65577054,-356045690.65577054,2029-07-01,True
357,4.204154945336159,1.1699641203747855,0.9620309889181894,1.145784950152321,1.0168759613055305,112.1658662481972,5083494103.028442,215141167.57087517,1331906099.5174966,413362921.2451638,-363362921.2451638,2029-08-01,True
358,8.287083016094812,1.179661414807767,0.8718972671341776,1.176492582388752,0.9336466644955465,326.0608671069373,5125628847.339747,-794212449.3680155,839404153.6593838,725909716.6470586,-675909716.6470586,2029-12-01,False
359,8.32661481496644,1.021688353335395,0.9415693014572827,0.9735845285902985,1.0008773267132571,208.30417143015652,4439235895.2422905,620300475.8839296,1085084589.2311811,339224515.09363484,-289224515.09363484,2029-12-01,True
360,6.53926514563094,1.1965261255937494,0.8055667538245521,1.03542267438794,0.9704991507687295,0.4725387679864639,5198906015.704841,-938558323.7562987,868874854.9776691,599175107.2446591,-549175107.2446591,2029-11-01,False
361,5.210816434956161,1.0640226370046093,0.8913959710880367,1.058977487652948,1.014416621880725,77.35956278057154,4623178357.785027,228421620.0469632,1168955499.032813,354703640.49101776,-304703640.49101776,2029-09-01,True
362,10.143063135113318,1.0927866514145412,0.8765886889526512,1.071605186576615,0.9708019733930777,74.26720719203745,4748158000.396181,-254912022.04205978,832509592.796297,435491647.2736151,-385491647.2736151,2030-02-01,False
363,5.655846685939272,1.0386988609168921,0.8822478343094843,1.082678807862142,0.9704336491506602,217.30198232482766,4513146550.683896,5365546.557834744,1020780393.5878347,436789183.03582287,-386789183.03582287,2029-10-01,True
