scenario,year,merchant_requested_service_gw,total_energized_gw,merchant_energized_gw,ready_for_occupancy_additions_gw,demand_backlog_start_gw,available_ready_start_gw,occupied_additions_gw,deferred_gw,available_ready_end_gw,energized_not_ready_gw,coverage,cumulative_occupied_gw,annualized_revenue_opportunity_usd_bn,capital_usd_bn,merchant_capital_usd_bn,merchant_addressable_gw,us_merchant_capital_implied_gw,us_merchant_provider_capital_spend_usd_bn,ready_capacity_occupancy_ratio,ready_additions_minus_requested_gw,requested_additions_annual_spend_opportunity_usd_bn,delta_vs_static_merchant_requested_service_gw,delta_vs_static_deferred_gw,delta_vs_static_annualized_revenue_opportunity_usd_bn,delta_vs_static_ready_capacity_occupancy_ratio
hyperscaler-heavy,2028,6.426493333333333,20.766097826087133,9.34474402173921,8.288347010869671,1.993874999999802,0.0,8.288347010869671,0.13202132246346387,0.0,4.672372010869605,0.984321193891146,16.983697010869868,144.3614245923939,758.7708333333334,335.59350000000006,9.588385714285716,6.71187,234.91545000000002,1.0,1.8618536775363381,54.62519333333333,-0.06306666666666771,-0.0827750000000016,0.0,0.0
hyperscaler-heavy,2029,7.023616416666668,25.15509782608713,11.319794021739208,10.332269021739208,0.13202132246346387,0.0,7.155637739130132,0.0,3.176631282609076,5.6598970108696065,1.0,24.13933475,205.184345375,834.647916666667,366.7681416666668,10.479089761904767,7.3353628333333365,256.73769916666674,0.8837078916111956,3.30865260507254,59.70073954166668,-0.11489958333333306,0.0,-1.6802339583333605,-0.007236595004451063
hyperscaler-heavy,2030,7.675899183333335,27.03234782608696,12.164556521739131,11.74217527173917,0.0,3.176631282609076,7.675899183333335,0.0,7.24290737101491,6.082278260869565,1.0,31.815233933333335,270.42948843333335,918.1127083333337,400.8217766666668,11.452050761904765,8.016435533333336,280.5752436666667,0.814560879521203,4.066276088405834,65.24514305833335,-0.17646841666666724,0.0,-3.1802154999999743,-0.009579129664276986
hyperscaler-heavy,2031,8.388402339166669,28.602847826086958,12.871281521739132,12.517919021739132,0.0,7.24290737101491,8.388402339166669,0.0,11.372424053587372,6.435640760869568,1.0,40.203636272500006,341.73090831625007,1009.923979166667,438.01845725000015,12.51481306428572,8.760369145000002,306.6129200750001,0.7795018855320527,4.129516682572463,71.30141988291669,-0.24920202083333542,0.0,-5.298432677083326,-0.01208593709741046
hyperscaler-heavy,2032,9.166647134333337,28.949347826086957,13.027206521739132,12.949244021739132,0.0,11.372424053587372,9.166647134333337,0.0,15.155020940993166,6.513603260869573,1.0,49.370283406833344,419.6474089580834,1110.9163770833338,478.64625618333355,13.675607319523815,9.57292512366667,335.0523793283335,0.7651305779311113,3.782596887405795,77.91650064183337,-0.3347176616666676,0.0,-8.14353280124999,-0.014847859954840725
hyperscaler-heavy,2033,10.016656865141671,28.949347826086957,13.027206521739132,13.027206521739132,0.0,15.155020940993166,10.016656865141671,0.0,18.16557059759063,6.513603260869573,1.0,59.386940271975014,504.78899231178764,1222.0080147916674,523.0194303308336,14.943412295166677,10.460388606616673,366.1136012315835,0.7657642493594692,3.01054965659746,85.1415833537042,-0.434844410458334,0.0,-11.839710290145831,-0.017960825218167997
neocloud-growth,2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056,627.0833333333334,280.9333333333334,8.026666666666667,5.618666666666666,196.65333333333336,1.0,-2.269645833333267,40.87933333333333,0.0,0.0,0.0,0.0
neocloud-growth,2027,5.982375,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,2.0963583333331357,0.0,3.6159750000000663,0.7459581870097696,8.695350000000197,73.91047500000167,689.7916666666667,317.3041666666667,9.065833333333334,6.346083333333334,222.11291666666665,1.0,0.17328750000013127,50.850187500000004,0.08277499999999982,0.08277499999999982,0.0,0.0
neocloud-growth,2028,6.754440000000001,20.766097826087133,9.34474402173921,8.288347010869671,2.0963583333331357,0.0,8.288347010869671,0.5624513224634651,0.0,4.672372010869605,0.9364519107451349,16.983697010869868,144.3614245923939,758.7708333333335,358.1398333333334,10.232566666666669,7.162796666666669,250.69788333333335,1.0,1.5339070108696706,57.41274000000001,0.2648799999999998,0.3476549999999996,0.0,0.0
neocloud-growth,2029,7.621094250000002,25.15509782608713,11.319794021739208,10.332269021739208,0.5624513224634651,0.0,8.183545572463467,0.0,2.1487234492757405,5.6598970108696065,1.0,25.167242583333334,213.92156195833334,834.647916666667,403.9695916666668,11.541988333333338,8.079391833333336,282.77871416666676,0.921338185634341,2.7111747717392056,64.77930112500002,0.4825782500000013,0.0,7.056982624999989,0.030393699018694376
neocloud-growth,2030,8.593534950000002,27.03234782608696,12.164556521739131,11.74217527173917,0.0,2.1487234492757405,8.593534950000002,0.0,5.297363771014908,6.082278260869565,1.0,33.76077753333334,286.9666090333334,918.1127083333337,455.3839033333335,13.010968666666672,9.107678066666669,318.7687323333334,0.8643723537754429,3.148640321739167,73.04504707500001,0.7411673499999996,0.0,13.356905100000063,0.04023234458996283
neocloud-growth,2031,9.684252847500003,28.602847826086958,12.871281521739132,12.517919021739132,0.0,5.297363771014908,9.684252847500003,0.0,8.131029945254037,6.435640760869568,1.0,43.445030380833344,369.28275823708344,1009.9239791666671,513.0413814166669,14.65832518333334,10.260827628333336,359.1289669916668,0.8423487584385866,2.833666174239129,82.31614920375003,1.0466484874999988,0.0,22.25341724375005,0.05076093580912344
neocloud-growth,2032,10.907178975000004,28.949347826086957,13.027206521739132,12.949244021739132,0.0,8.131029945254037,10.907178975000004,0.0,10.173094991993164,6.513603260869573,1.0,54.35220935583335,461.9937795245835,1110.9163770833338,577.6765160833336,16.505043316666672,11.55353032166667,404.3735612583335,0.8423394496962827,2.0420650467391273,92.71102128750003,1.405814179,0.0,34.20283776525008,0.06236101181033071
neocloud-growth,2033,12.277847799525006,28.949347826086957,13.027206521739132,13.027206521739132,0.0,10.173094991993164,12.277847799525006,0.0,10.92245371420729,6.513603260869573,1.0,66.63005715535836,566.355485820546,1222.0080147916672,650.108263869167,18.574521824833344,13.00216527738334,455.07578470841685,0.8591605404939423,0.7493587222141258,104.36170629596255,1.8263465239250003,0.0,49.72678321861258,0.07543546591630512
enterprise-sovereign-growth,2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056,627.0833333333334,280.9333333333334,8.026666666666667,5.618666666666666,196.65333333333336,1.0,-2.269645833333267,40.87933333333333,0.0,0.0,0.0,0.0
enterprise-sovereign-growth,2027,5.8444166666666675,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,1.9583999999998039,0.0,3.6159750000000663,0.7586412478336444,8.695350000000197,73.91047500000167,689.7916666666667,303.5083333333333,8.671666666666669,6.070166666666667,212.45583333333332,1.0,0.311245833333464,49.67754166666667,-0.05518333333333292,-0.05518333333333203,0.0,0.0
enterprise-sovereign-growth,2028,6.312973333333334,20.766097826087133,9.34474402173921,8.288347010869671,1.9583999999998039,0.0,8.271373333333138,0.0,0.01697367753653367,4.672372010869605,1.0,16.966723333333334,144.21714833333334,758.7708333333335,327.7890000000001,9.365400000000001,6.555780000000001,229.45230000000006,0.9990005899466017,1.9753736775363375,53.660273333333336,-0.1765866666666671,-0.21479632246346547,-0.14427625906054686,-0.0009994100533983197
enterprise-sovereign-growth,2029,6.816797166666667,25.15509782608713,11.319794021739208,10.332269021739208,0.0,0.01697367753653367,6.816797166666667,0.0,3.5324455326090742,5.6598970108696065,1.0,23.7835205,202.15992425000002,834.647916666667,353.8907166666668,10.111163333333337,7.077814333333336,247.72350166666672,0.8706820206031837,3.5154718550725406,57.942775916666676,-0.3217188333333336,0.0,-4.704655083333336,-0.020262466012462954
enterprise-sovereign-growth,2030,7.358256033333336,27.03234782608696,12.164556521739131,11.74217527173917,0.0,3.5324455326090742,7.358256033333336,0.0,7.916364771014908,6.082278260869565,1.0,31.14177653333334,264.7051005333334,918.1127083333337,381.9348866666668,10.912425333333339,7.638697733333336,267.3544206666667,0.7973184461255047,4.383919238405833,62.545176283333355,-0.49411156666666667,0.0,-8.904603399999928,-0.026821563059975295
enterprise-sovereign-growth,2031,7.93983870166667,28.602847826086958,12.871281521739132,12.517919021739132,0.0,7.916364771014908,7.93983870166667,0.0,12.494445091087371,6.435640760869568,1.0,39.08161523500001,332.19372949750004,1009.9239791666671,412.0489835000002,11.772828100000005,8.240979670000002,288.4342884500001,0.757747198756714,4.578080320072463,67.4886289641667,-0.6977656583333349,0.0,-14.835611495833348,-0.03384062387274911
enterprise-sovereign-growth,2032,8.564155343333336,28.949347826086957,13.027206521739132,12.949244021739132,0.0,12.494445091087371,8.564155343333336,0.0,16.879533769493168,6.513603260869573,1.0,47.64577057833334,404.9890499158334,1110.9163770833338,444.3665508333336,12.696187166666672,8.88733101666667,311.05658558333346,0.7384044300123981,4.385088678405795,72.79532041833336,-0.9372094526666679,0.0,-22.801891843500016,-0.04157400787355392
enterprise-sovereign-growth,2033,9.23393692631667,28.949347826086957,13.027206521739132,13.027206521739132,0.0,16.879533769493168,9.23393692631667,0.0,20.67280336491563,6.513603260869573,1.0,56.879707504650014,483.4775137895251,1222.0080147916674,479.02714179833356,13.686489765666675,9.580542835966671,335.31899925883346,0.733434763966767,3.793269595422462,78.48846387369169,-1.217564349283336,0.0,-33.15118881240835,-0.05029031061087019
static-control,2026,4.809333333333333,11.287500000000293,5.079375000000132,2.539687500000066,0.0,0.0,2.539687500000066,2.269645833333267,0.0,2.539687500000066,0.5280747504851815,2.539687500000066,21.58734375000056,627.0833333333334,280.9333333333334,8.026666666666667,5.618666666666666,196.65333333333336,1.0,-2.269645833333267,40.87933333333333,0.0,0.0,0.0,0.0
static-control,2027,5.8996,16.071000000000293,7.231950000000132,6.1556625000001315,2.269645833333267,0.0,6.1556625000001315,2.013583333333136,0.0,3.6159750000000663,0.753516618986169,8.695350000000197,73.91047500000167,689.7916666666667,309.0266666666667,8.829333333333334,6.180533333333334,216.31866666666667,1.0,0.2560625000001311,50.14660000000001,0.0,0.0,0.0,0.0
static-control,2028,6.489560000000001,20.766097826087133,9.34474402173921,8.288347010869671,2.013583333333136,0.0,8.288347010869671,0.21479632246346547,0.0,4.672372010869605,0.9747391859641548,16.983697010869868,144.3614245923939,758.7708333333335,339.9293333333334,9.712266666666668,6.798586666666667,237.95053333333334,1.0,1.7987870108696704,55.161260000000006,0.0,0.0,0.0,0.0
static-control,2029,7.138516000000001,25.15509782608713,11.319794021739208,10.332269021739208,0.21479632246346547,0.0,7.353312322463466,0.0,2.9789566992757415,5.6598970108696065,1.0,24.337009333333334,206.86457933333335,834.647916666667,373.9222666666668,10.683493333333338,7.478445333333336,261.7455866666668,0.8909444866156466,3.193753021739207,60.677386000000006,0.0,0.0,0.0,0.0
static-control,2030,7.852367600000003,27.03234782608696,12.164556521739131,11.74217527173917,0.0,2.9789566992757415,7.852367600000003,0.0,6.868764371014908,6.082278260869565,1.0,32.189376933333335,273.6097039333333,918.1127083333337,411.3144933333335,11.751842666666672,8.22628986666667,287.92014533333344,0.82414000918548,3.8898076717391668,66.74512460000003,0.0,0.0,0.0,0.0
static-control,2031,8.637604360000005,28.602847826086958,12.871281521739132,12.517919021739132,0.0,6.868764371014908,8.637604360000005,0.0,10.749079032754036,6.435640760869568,1.0,40.82698129333334,347.0293409933334,1009.9239791666671,452.44594266666684,12.927026933333341,9.048918853333337,316.71215986666675,0.7915878226294631,3.8803146617391278,73.41963706000004,0.0,0.0,0.0,0.0
static-control,2032,9.501364796000004,28.949347826086957,13.027206521739132,12.949244021739132,0.0,10.749079032754036,9.501364796000004,0.0,14.196958258493162,6.513603260869573,1.0,50.328346089333344,427.7909417593334,1110.9163770833338,497.69053693333365,14.219729626666673,9.95381073866667,348.3833758533335,0.779978437885952,3.4478792257391273,80.76160076600004,0.0,0.0,0.0,0.0
static-control,2033,10.451501275600005,28.949347826086957,13.027206521739132,13.027206521739132,0.0,14.196958258493162,10.451501275600005,0.0,16.772663504632288,6.513603260869573,1.0,60.779847364933346,516.6287026019335,1222.0080147916674,547.459590626667,15.641702589333343,10.94919181253334,383.2217134386669,0.7837250745776372,2.575705246139126,88.83776084260005,0.0,0.0,0.0,0.0
